ID,Smiles
71,CC[C@H](NCCN[C@@H](CC)CO)CO.Cl.Cl
72,CC1=CC=C(S(=O)(O)=O)C=C1.O=C(C2=CN(C3=CC=C(F)C=C3F)C4=C(C=C(F)C(N5CC(N)CC5)=N4)C2=O)O.O
73,[H][C@]12[C@]3([H])CC([C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])C[C@]([H])1[C@]5([H])CN6C[C@@H](C)CC[C@]([H])6[C@@](C)(O)[C@]([H])5CC2)=O
74,OC[C@@H](O)[C@@H](O)[C@@H](O)CO
75,OC1=CC(O)=CC(/C=C/C2=CC=C(O)C=C2)=C1O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO
76,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl
77,OC1=C(O)C=CC(CCOC2C(C(OC3OC(C)C(O)C(O)C3O)C(OC(/C=C/C4=CC=C(O)C(O)=C4)=O)C(COC5OC(C)C(O)C(O)C5O)O2)O)=C1
78,C[C@@H]([C@@H]([C@@](C)(C[C@H]1OC(CO)=O)C=C)O)C(CC[C@H]2C)(CCC3=O)[C@]3([H])C21C
79,OC[C@@H]1[C@@H](NC([C@@H](N)CC2=CC=C(OC)C=C2)=O)[C@H]([C@H](N3C=NC4=C3N=CN=C4N(C)C)O1)O.[H]Cl.[H]Cl
80,C[N+]1=CC2=C3C(OCO3)=CC=C2C(C=CC4=C5)=C1C4=CC6=C5OCO6.[Cl-]
81,OC1=C2C(OC=C(C3=CC=C(O)C=C3)C2=O)=CC(O)=C1
82,O=C(C1=C(O)C=C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@@]3([H])[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)C=C1O)CCC4=CC=C(O)C=C4
83,OC1=C2C(OC(C3=CC=C(O)C=C3)=CC2=O)=CC(O)=C1
84,C/C=C/C1=C(OC)C=C(OC)C(OC)=C1
85,O=C1OC[C@]2([H])[C@H](O[C@H]3[C@@H]([C@H]([C@@H]4O[C@H](C)OC[C@H]4O3)O)O)C5=C(C=C6OCOC6=C5)[C@@H](C7=CC(OC)=C(O)C(OC)=C7)[C@]21[H]
86,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O
87,O=C(C1(O)CC(OC(/C=C/C2=CC=C(O)C(O)=C2)=O)C(O)C(OC(/C=C/C3=CC=C(O)C(O)=C3)=O)C1)O
88,NC1=C(C=CC=C2)C2=NC3=CC=CC=C31
89,N#[C-][Co+3]123([N]4=CN(C(OC(CO)C5OP6([O-])=O)C5O)C7=C4C=C(C)C(C)=C7)[N]8=C9C(CCC(N)=O)C(CC(N)=O)(C)C8(C)C(C(CC(N)=O)C%10(CCC(NCC(C)O6)=O)C)[N-]1C%10=C(C)C(C(CCC(N)=O)C%11(C)C)=[N]2C%11=CC%12=[N]3C(C(CC(N)=O)(C)C%12CCC(N)=O)=C9C
90,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
91,CC1(C)[C@@H](O)CC[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC[C@@]12[H]
92,O=C1C=C(C2=CC=C(OC)C=C2)OC3=CC(O)=CC(O)=C13
93,OC(C1=C(C2=O)C(O[C@@]2(O/C=C/[C@@H]([C@H]([C@@]([C@@H]3C)([H])OC(C)=O)C)OC)C)=C(C)C(O)=C1C(O)=C4NC(/C(C)=C\C=C\[C@@H]([C@@H]([C@@H](C)[C@H]3O)O)C)=O)=C4/C=N/N5CCN(C6CCCC6)CC5
94,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=CC5=CC(O)=CC=C5N=C4C3=C2)=O
